City,Job Wage (Avg),Number of Jobs,ID,Population,Household Income (Avg)
"Merced, CA",76623.33333333333,380.0,32900,268878,
"Mobile, AL",55966.0,570.0,33660,414852,
"Modesto, CA",78387.14285714286,930.0,33700,541353,
"Montgomery, AL",54715.0,1320.0,33860,373475,
"Napa, CA",90797.5,620.0,34900,141649,
"Naples-Immokalee-Marco Island, FL",82048.57142857143,1090.0,34940,366095,
"New Haven, CT",83762.5,3330.0,35300,859973,
"North Port-Sarasota-Bradenton, FL",64575.71428571428,2130.0,35840,788442,
"Norwich-New London-Westerly, CT-RI",83632.5,1150.0,35980,269307,
"Ocala, FL",77635.0,480.0,36100,348139,
"Orlando-Kissimmee-Sanford, FL",74745.55555555556,12680.0,36740,2453333,
"Oxnard-Thousand Oaks-Ventura, CA",87096.25,5140.0,37100,851096,
"Palm Bay-Melbourne-Titusville, FL",79081.42857142857,3100.0,37340,577899,
"Panama City, FL",68238.0,640.0,37460,199092,
"Pensacola-Ferry Pass-Brent, FL",64921.42857142857,1660.0,37860,481774,
"Phoenix-Mesa-Scottsdale, AZ",66930.0,38260.0,38060,4648498,
"Pine Bluff, AR",56110.0,190.0,38220,92412,
"Pocatello, ID",63985.0,200.0,38540,84379,
"Port St. Lucie, FL",69233.33333333333,810.0,38940,464563,
"Prescott, AZ",67040.0,280.0,39140,224363,
"Pueblo, CO",67166.66666666667,240.0,39380,164834,
"Punta Gorda, FL",96715.0,140.0,39460,178157,
"Redding, CA",68473.33333333333,400.0,39820,178774,
"Riverside-San Bernardino-Ontario, CA",78787.5,10950.0,40140,4523653,
"Rome, GA",65240.0,170.0,40660,96620,
"Sacramento--Roseville--Arden-Arcade, CA",79155.0,33750.0,40900,2295233,
"Salinas, CA",86361.42857142857,1360.0,41500,436363,
"San Diego-Carlsbad, CA",89126.25,27580.0,41740,3317200,
"San Jose-Sunnyvale-Santa Clara, CA",109998.75,32540.0,41940,1990910,
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",81382.0,1390.0,42020,282282,
"Santa Cruz-Watsonville, CA",84335.0,1120.0,42100,275196,
"Santa Maria-Santa Barbara, CA",87056.25,1710.0,42200,446296,
"Santa Rosa, CA",82890.0,2130.0,42220,503833,
"Savannah, GA",65875.71428571429,1010.0,42340,383785,
"Sebastian-Vero Beach, FL",72425.0,200.0,42680,151382,
"Sebring, FL",53140.0,40.0,42700,101558,
"Sierra Vista-Douglas, AZ",72396.66666666667,1050.0,43420,125355,
"Sioux City, IA-NE-SD",75560.0,450.0,43580,169049,
"Stockton-Lodi, CA",73988.57142857143,1320.0,44700,734294,
"Tallahassee, FL",60561.42857142857,7000.0,45220,379047,
"Tampa-St. Petersburg-Clearwater, FL",68195.55555555556,20900.0,45300,3036525,
"The Villages, FL",76140.0,140.0,45540,122121,
"Tucson, AZ",74457.14285714286,4320.0,46060,1012519,
"Tuscaloosa, AL",70922.5,460.0,46220,241444,
"Urban Honolulu, HI",73076.25,4930.0,46520,992761,
"Valdosta, GA",65120.0,100.0,46660,144434,
"Vallejo-Fairfield, CA",87346.0,1360.0,46700,440318,
"Visalia-Porterville, CA",72252.5,490.0,47300,460835,
"Warner Robins, GA",77821.66666666667,890.0,47580,190068,
"Waterloo-Cedar Falls, IA",68114.0,690.0,47940,169894,
"Wilmington, DE-MD-NJ ",86850.0,13040.0,37980,6077152,
"Yuba City, CA",48702.5,330.0,49700,171243,
"Yuma, AZ",71054.0,280.0,49740,205463,
